Kong_Index,Kong_ROI_Name,Schaefer2018_Best_Match,Dice
0,Background,Background+FreeSurfer_Defined_Medial_Wall,1.0
1,17networks_LH_DefaultA_IPL_1,17Networks_LH_DefaultA_IPL_1,1.0
2,17networks_LH_DefaultA_PCC_1,17Networks_LH_DefaultA_pCunPCC_1,1.0
3,17networks_LH_DefaultA_PFCd_1,17Networks_LH_DefaultB_PFCd_1,1.0
4,17networks_LH_DefaultA_PFCm_1,17Networks_LH_DefaultA_PFCm_2,1.0
5,17networks_LH_DefaultA_PFCm_2,17Networks_LH_DefaultA_PFCm_1,1.0
6,17networks_LH_DefaultA_PHC_1,17Networks_LH_DefaultC_PHC_1,1.0
7,17networks_LH_DefaultA_Temp_1,17Networks_LH_TempPar_2,1.0
8,17networks_LH_DefaultA_Temp_2,17Networks_LH_LimbicA_TempPole_3,1.0
9,17networks_LH_DefaultA_TempPole_1,17Networks_LH_LimbicA_TempPole_5,1.0
10,17networks_LH_DefaultA_TempPole_2,17Networks_LH_LimbicA_TempPole_4,1.0
11,17networks_LH_DefaultA_pCunPCC_1,17Networks_LH_DefaultA_pCunPCC_2,1.0
12,17networks_LH_DefaultB_FPole_1,17Networks_LH_LimbicB_OFC_4,1.0
13,17networks_LH_DefaultB_IPL_1,17Networks_LH_DefaultB_IPL_2,1.0
14,17networks_LH_DefaultB_IPL_2,17Networks_LH_DefaultB_IPL_1,1.0
15,17networks_LH_DefaultB_PCC_1,17Networks_LH_DefaultA_pCunPCC_4,1.0
16,17networks_LH_DefaultB_PFCd_1,17Networks_LH_DefaultB_PFCd_4,1.0
17,17networks_LH_DefaultB_PFCd_2,17Networks_LH_DefaultB_PFCd_3,1.0
18,17networks_LH_DefaultB_PFCd_3,17Networks_LH_DefaultB_PFCd_2,1.0
19,17networks_LH_DefaultB_PFCl_1,17Networks_LH_DefaultB_PFCl_1,1.0
20,17networks_LH_DefaultB_PFCv_1,17Networks_LH_DefaultB_PFCv_3,1.0
21,17networks_LH_DefaultB_PFCv_2,17Networks_LH_DefaultB_PFCv_1,1.0
22,17networks_LH_DefaultB_Temp_1,17Networks_LH_DefaultB_Temp_4,1.0
23,17networks_LH_DefaultB_Temp_2,17Networks_LH_DefaultB_Temp_2,1.0
24,17networks_LH_DefaultB_Temp_3,17Networks_LH_LimbicA_TempPole_2,1.0
25,17networks_LH_DefaultB_TempPole_1,17Networks_LH_DefaultB_Temp_1,1.0
26,17networks_LH_DefaultC_IPL_1,17Networks_LH_DefaultC_IPL_1,1.0
27,17networks_LH_DefaultC_PFCd_1,17Networks_LH_DefaultA_PFCd_2,1.0
28,17networks_LH_DefaultC_PFCd_2,17Networks_LH_DefaultA_PFCd_1,1.0
29,17networks_LH_DefaultC_PHC_1,17Networks_LH_DefaultC_PHC_3,1.0
30,17networks_LH_DefaultC_PHC_2,17Networks_LH_DefaultC_PHC_2,1.0
31,17networks_LH_DefaultC_RSC_1,17Networks_LH_DefaultC_Rsp_2,1.0
32,17networks_LH_DefaultC_RSC_2,17Networks_LH_DefaultC_Rsp_1,1.0
33,17networks_LH_DefaultC_pCun_1,17Networks_LH_ContC_pCun_3,1.0
34,17networks_LH_DefaultC_pCun_2,17Networks_LH_DefaultA_pCunPCC_5,1.0
35,17networks_LH_Language_IFG_1,17Networks_LH_DefaultB_PFCv_5,1.0
36,17networks_LH_Language_IFG_2,17Networks_LH_DefaultB_PFCv_4,1.0
37,17networks_LH_Language_IPL_1,17Networks_LH_SalVentAttnA_ParOper_1,1.0
38,17networks_LH_Language_PFCd_1,17Networks_LH_DefaultB_PFCd_5,1.0
39,17networks_LH_Language_PFCl_1,17Networks_LH_DefaultB_PFCl_2,1.0
40,17networks_LH_Language_Temp_1,17Networks_LH_DefaultB_Temp_3,1.0
41,17networks_LH_Language_Temp_2,17Networks_LH_TempPar_1,1.0
42,17networks_LH_ContA_Cingm_1,17Networks_LH_ContA_Cingm_1,1.0
43,17networks_LH_ContA_IPS_1,17Networks_LH_ContA_IPS_2,1.0
44,17networks_LH_ContA_IPS_2,17Networks_LH_ContB_IPL_2,1.0
45,17networks_LH_ContA_IPS_3,17Networks_LH_DorsAttnA_SPL_2,1.0
46,17networks_LH_ContA_Ins_1,17Networks_LH_SalVentAttnB_Ins_1,1.0
47,17networks_LH_ContA_PFCd_1,17Networks_LH_ContA_PFCd_1,1.0
48,17networks_LH_ContA_PFCl_1,17Networks_LH_ContA_PFCl_3,1.0
49,17networks_LH_ContA_PFCl_2,17Networks_LH_ContA_PFCl_2,1.0
50,17networks_LH_ContA_PFCl_3,17Networks_LH_ContA_PFClv_1,1.0
51,17networks_LH_ContA_Temp_1,17Networks_LH_ContA_Temp_1,1.0
52,17networks_LH_ContB_IPL_1,17Networks_LH_ContB_IPL_1,1.0
53,17networks_LH_ContB_IPS_1,17Networks_LH_ContA_IPS_1,1.0
54,17networks_LH_ContB_OFC_1,17Networks_LH_ContB_PFClv_1,1.0
55,17networks_LH_ContB_OFC_2,17Networks_LH_LimbicB_OFC_3,1.0
56,17networks_LH_ContB_OFC_3,17Networks_LH_LimbicB_OFC_2,1.0
57,17networks_LH_ContB_PCC_1,17Networks_LH_DefaultA_pCunPCC_3,1.0
58,17networks_LH_ContB_PFCmp_1,17Networks_LH_ContB_PFCmp_1,1.0
59,17networks_LH_ContB_Temp_1,17Networks_LH_ContB_Temp_1,1.0
60,17networks_LH_ContC_Cingp_1,17Networks_LH_ContC_Cingp_1,1.0
61,17networks_LH_ContC_FPole_1,17Networks_LH_ContB_PFClv_2,1.0
62,17networks_LH_ContC_PFCm_1,17Networks_LH_SalVentAttnB_PFCmp_1,1.0
63,17networks_LH_ContC_PFCm_2,17Networks_LH_DefaultA_PFCm_3,1.0
64,17networks_LH_ContC_pCun_1,17Networks_LH_ContC_pCun_2,1.0
65,17networks_LH_ContC_pCun_2,17Networks_LH_ContC_pCun_1,1.0
66,17networks_LH_SalVenAttnA_FrMed_1,17Networks_LH_SalVentAttnA_FrMed_1,1.0
67,17networks_LH_SalVenAttnA_FrOper_1,17Networks_LH_SalVentAttnA_FrOper_1,1.0
68,17networks_LH_SalVenAttnA_IPL_1,17Networks_LH_SalVentAttnA_ParOper_2,1.0
69,17networks_LH_SalVenAttnA_Ins_1,17Networks_LH_SalVentAttnA_Ins_3,1.0
